STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US04,Arizona,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,4554013,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US49,Utah,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2123032,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US45,South Carolina,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3273481,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US01,Alabama,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3225605,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US31,Nebraska,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1242768,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US02,Alaska,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,486462,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US32,Nevada,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2030701,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US37,North Carolina,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,6815557,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US06,California,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,26296225,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US16,Idaho,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1166306,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US51,Virginia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,5690444,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US30,Montana,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,683074,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US20,Kansas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1869837,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US38,North Dakota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,498615,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US55,Wisconsin,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3804382,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US53,Washington,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,5088051,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US42,Pennsylvania,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,8351868,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US17,Illinois,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,8377038,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US56,Wyoming,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,366315,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US39,Ohio,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,7570344,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US18,Indiana,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,4381460,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US29,Missouri,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3944954,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US48,Texas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,19268442,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US09,Connecticut,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2367501,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US36,New York,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,13252375,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US40,Oklahoma,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2532037,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US12,Florida,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,13554741,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US26,Michigan,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,6499654,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US11,District of Columbia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,494053,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US15,Hawaii,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,915412,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US05,Arkansas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,1911276,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US46,South Dakota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,551324,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US27,Minnesota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,3676908,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US33,New Hampshire,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,909618,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US21,Kentucky,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,2905194,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US23,Maine,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,866501,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US24,Maryland,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,4053761,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US47,Tennessee,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,4491172,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US34,New Jersey,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2020,,6064281,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US34,New Jersey,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,5852274,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US47,Tennessee,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,4386981,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US24,Maryland,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,4003237,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US23,Maine,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,861658,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US21,Kentucky,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,2901504,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US33,New Hampshire,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,901559,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US27,Minnesota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,3624471,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US46,South Dakota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,548786,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US05,Arkansas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,1916278,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US15,Hawaii,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,911179,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US11,District of Columbia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,500767,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US26,Michigan,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,6513429,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US12,Florida,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,13237846,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US40,Oklahoma,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,2530604,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US36,New York,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,13020007,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US09,Connecticut,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,2370888,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US48,Texas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,18683927,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US29,Missouri,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,3953623,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US18,Indiana,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,4342434,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US39,Ohio,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,7567004,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US56,Wyoming,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,375087,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US17,Illinois,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,8442336,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US42,Pennsylvania,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,8318007,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US53,Washington,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,4913435,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US55,Wisconsin,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,3780789,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US38,North Dakota,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,493926,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US30,Montana,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,669749,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US20,Kansas,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,1869495,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US51,Virginia,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,5632529,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US16,Idaho,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,1087062,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US06,California,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,26302239,,USA,United States,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_DEMO@DF_POP_BROAD(2.0),Population by broad age groups - Regions,I,A,Annual,TL2,TL2,US37,North Carolina,_Z,Not applicable,POP,Population,Y15T64,From 15 to 64 years,_T,Total,PS,Persons,2019,,6738112,,USA,United States,A,Normal value,0,Units,0,Zero
