"from_country","to_country","move_year","n_moves","n_unique_movers"
"Belgium","Germany",2020,6,6
"Argentina","United States",2018,6,6
"United Kingdom","Sweden",2023,6,6
"Jordan","Egypt",2024,6,6
"Russia","Switzerland",2021,6,6
"United States","Czech Republic",2023,6,6
"China","India",2020,6,6
"Turkey","United Kingdom",2018,6,6
"Pakistan","Germany",2019,6,6
"United Kingdom","Turkey",2024,6,6
"Pakistan","United Arab Emirates",2021,6,6
"China","United Kingdom",2017,6,6
"India","South Korea",2019,6,6
"Spain","United Kingdom",2016,6,6
"Israel","United Kingdom",2024,6,6
"United Kingdom","Ireland",2024,6,6
"Australia","Pakistan",2023,6,6
"Philippines","United States",2021,6,6
"France","China",2021,6,6
"Belarus","Poland",2023,6,6
"Germany","Ireland",2024,6,6
"United States","Nepal",2022,6,6
"France","Netherlands",2015,6,6
"Lebanon","Netherlands",2016,6,6
"Canada","Egypt",2021,6,5
"Italy","France",2021,6,6
"United Kingdom","Poland",2021,6,6
"Singapore","France",2024,6,6
"Netherlands","Spain",2022,6,6
"Canada","Singapore",2021,6,6
"Tunisia","France",2018,6,6
"India","Nepal",2023,6,6
"Germany","China",2021,6,6
"Japan","Vietnam",2020,6,6
"Switzerland","India",2023,6,6
"United Kingdom","Spain",2018,6,6
"Belgium","Germany",2019,6,6
"Germany","Tunisia",2024,6,6
"France","India",2023,6,6
"Vietnam","Singapore",2021,6,6
"China","United States",2012,6,6
"Canada","China",2023,6,6
"United Arab Emirates","Egypt",2020,6,6
"United Kingdom","Turkey",2019,6,6
"United Kingdom","Italy",2018,6,6
"Singapore","China",2017,6,6
"United States","Germany",2015,6,6
"Singapore","China",2022,6,6
"India","Hong Kong",2021,6,6
"Canada","Iran",2020,6,6
"Germany","Singapore",2021,6,6
"Germany","Netherlands",2009,6,6
"Japan","Switzerland",2022,6,6
"Tunisia","Germany",2020,6,6
"Lebanon","France",2022,6,6
"Canada","France",2017,6,6
"Australia","China",2021,6,6
"Sweden","Switzerland",2021,6,6
"United States","Spain",2018,6,6
"United States","Mexico",2019,6,6
"Austria","Germany",2024,6,6
"Germany","Italy",2019,6,6
"Netherlands","Bahrain",2020,6,6
"Greece","United States",2022,6,6
"China","Hong Kong",2018,6,6
"Singapore","Japan",2022,6,6
"United Kingdom","Japan",2023,6,6
"Nepal","India",2023,6,6
"Morocco","Malta",2022,6,6
"Germany","Netherlands",2010,6,6
"Mexico","United States",2019,6,6
"Sweden","United Kingdom",2018,6,6
"Tunisia","Germany",2021,6,6
"Brazil","Canada",2019,6,6
"Germany","Pakistan",2021,6,6
"Pakistan","United Kingdom",2020,6,6
"France","Spain",2018,6,6
"United Arab Emirates","Canada",2021,6,6
"South Korea","Uzbekistan",2022,6,6
"United Kingdom","Singapore",2020,6,6
"Denmark","Sweden",2021,6,6
"Thailand","United States",2022,6,6
"Singapore","Canada",2019,6,6
"Ireland","India",2022,6,6
"Austria","United States",2023,6,6
"Singapore","Japan",2019,6,6
"Switzerland","France",2019,6,6
"Belgium","United Kingdom",2023,6,6
"Russia","Netherlands",2020,6,6
"United States","Saint Vincent and the Grenadines",2023,6,6
"Austria","Germany",2020,6,6
"Netherlands","Lebanon",2018,6,6
"Sweden","Germany",2023,6,6
"Russia","Spain",2021,6,6
"United States","Ireland",2018,6,6
"India","Spain",2023,6,6
"Vietnam","Canada",2023,6,6
"Ukraine","United Kingdom",2022,6,6
"Spain","Germany",2016,6,6
"United States","Hong Kong",2021,6,6
"Netherlands","United Kingdom",2006,6,6
"Egypt","Germany",2019,6,6
"United States","Norway",2018,6,6
"Germany","United Kingdom",2016,6,6
"Japan","United Kingdom",2023,6,6
"United Kingdom","Ireland",2023,6,6
"Singapore","Netherlands",2022,6,6
"France","India",2022,6,5
"United Kingdom","Spain",2017,6,6
"United States","Ukraine",2024,6,6
"Netherlands","Switzerland",2017,6,6
"Singapore","United Kingdom",2024,6,6
"Japan","Germany",2021,6,6
"South Korea","United States",2016,6,6
"United Kingdom","Egypt",2021,6,6
"India","South Korea",2021,6,6
"China","France",2020,6,6
"Netherlands","Norway",2020,6,6
"Poland","United Kingdom",2023,6,6
"Saudi Arabia","United Arab Emirates",2024,6,6
"United States","South Africa",2024,6,6
"Ireland","Germany",2022,6,6
"Vietnam","Australia",2024,6,6
"South Korea","United Kingdom",2023,6,6
"India","Netherlands",2016,6,6
"Germany","Switzerland",2018,6,6
"China","Netherlands",2022,6,6
"Japan","France",2021,6,6
"United Kingdom","Saudi Arabia",2024,6,6
"Netherlands","Sweden",2019,6,6
"Poland","Germany",2021,6,6
"United Kingdom","Japan",2022,6,6
"United Kingdom","Belgium",2021,6,6
"United Kingdom","United States",2011,6,6
"Netherlands","China",2018,6,6
"Germany","United Kingdom",2015,6,6
"Chile","United States",2021,6,6
"United States","Bangladesh",2023,6,6
"United States","Singapore",2018,6,6
"United Kingdom","Russia",2021,6,6
"Vietnam","South Korea",2023,6,6
"Belgium","United Kingdom",2017,6,6
"Sweden","United Kingdom",2022,6,6
"United States","Poland",2020,6,6
"United States","Spain",2017,6,6
"Indonesia","United States",2023,6,6
"Ireland","Germany",2019,6,6
"China","Netherlands",2019,6,6
"Russia","Austria",2020,6,6
"Pakistan","Germany",2020,6,6
"Poland","United Kingdom",2024,6,6
"South Korea","United Kingdom",2020,6,6
"Sweden","Spain",2024,6,6
"United Kingdom","Egypt",2023,6,6
"United Kingdom","Russia",2019,6,6
"Singapore","Canada",2020,6,5
"India","Italy",2024,6,6
"France","Netherlands",2017,6,6
"United States","Israel",2015,6,6
"Spain","Switzerland",2020,6,6
"United States","Vietnam",2020,6,6
"United Arab Emirates","Canada",2023,6,6
"Egypt","India",2021,6,6
"France","Tunisia",2018,6,6
"Germany","Canada",2019,6,6
"France","Tunisia",2023,6,6
"Russia","Turkey",2023,6,6
"Kazakhstan","United States",2024,6,6
"Spain","Netherlands",2020,6,6
"Japan","Canada",2020,6,6
"France","Austria",2022,6,6
"United States","Poland",2023,6,6
"United States","Puerto Rico",2021,6,6
"Netherlands","South Africa",2012,6,6
"India","United Kingdom",2015,6,6
"Germany","Iran",2023,6,6
"Saudi Arabia","United Arab Emirates",2023,6,6
"Netherlands","Greece",2022,6,6
"Uganda","United States",2024,6,4
"Russia","India",2023,6,6
"United Kingdom","Sweden",2022,6,6
"United Kingdom","Canada",2016,6,6
"China","France",2019,6,6
"United Arab Emirates","Germany",2023,6,6
"United Kingdom","Belgium",2019,6,6
"Germany","Turkey",2020,6,6
"India","Sweden",2020,6,6
"Netherlands","Belgium",2007,6,6
"Brazil","Canada",2024,6,6
"United States","Kenya",2023,6,6
"Brazil","United Kingdom",2022,6,6
"United Kingdom","Singapore",2022,6,6
"Germany","Canada",2017,6,6
"Turkey","Canada",2024,6,6
"Russia","Canada",2021,6,6
"Armenia","United States",2024,6,6
"Russia","Kazakhstan",2021,6,6
"France","Luxembourg",2022,6,6
"Armenia","Germany",2024,6,6
"China","Japan",2023,6,6
"Germany","Australia",2022,6,6
"China","France",2017,6,6
"China","Canada",2018,6,6
"Ukraine","Canada",2022,6,6
"South Korea","United Kingdom",2024,6,6
"Russia","Cyprus",2020,6,6
"United States","Philippines",2023,6,6
"Lebanon","Germany",2024,6,6
"Vietnam","Canada",2021,6,6
"Netherlands","Belgium",2004,6,6
"South Africa","United Kingdom",2021,6,6
"Peru","Spain",2024,6,6
"Turkey","Iran",2023,5,5
"Vietnam","United States",2020,5,5
"Germany","India",2017,5,5
"Brazil","United Kingdom",2023,5,5
"Iran","Turkey",2021,5,5
"Singapore","France",2020,5,5
"India","Finland",2022,5,5
"Japan","France",2023,5,5
"Austria","United States",2024,5,5
"Iran","Australia",2019,5,5
"United States","Iran",2024,5,5
"United States","Netherlands",2003,5,5
"Iran","United Kingdom",2019,5,5
"France","Netherlands",2011,5,5
"Germany","Mexico",2023,5,5
"Germany","Indonesia",2022,5,5
"Egypt","United Kingdom",2020,5,5
"Finland","United Kingdom",2019,5,5
"South Africa","Netherlands",2010,5,5
"Ireland","United States",2024,5,5
"United Arab Emirates","India",2020,5,5
"Portugal","United States",2020,5,5
"China","Germany",2021,5,5
"Nigeria","Netherlands",2012,5,5
"Egypt","Saudi Arabia",2020,5,5
"Belgium","Netherlands",2007,5,5
"Tunisia","United States",2021,5,5
"Italy","Canada",2020,5,5
"India","United States",2010,5,5
"United Arab Emirates","Turkey",2023,5,5
"Sweden","Switzerland",2019,5,5
"France","Luxembourg",2023,5,5
"United Kingdom","Japan",2024,5,5
"Germany","Russia",2022,5,5
"United States","India",2012,5,5
"Germany","Italy",2021,5,5
"Romania","United Kingdom",2024,5,5
"United States","Taiwan",2018,5,5
"Norway","Germany",2024,5,5
"Japan","Vietnam",2022,5,5
"United States","Indonesia",2021,5,5
"Morocco","Canada",2024,5,5
"Belgium","United States",2016,5,5
"Mexico","Netherlands",2015,5,5
"Sweden","United Kingdom",2024,5,5
"United Arab Emirates","Saudi Arabia",2023,5,5
"China","France",2018,5,5
"Ireland","Germany",2024,5,5
"Japan","United States",2015,5,5
"Nepal","India",2024,5,4
"Singapore","China",2020,5,5
"India","Nepal",2021,5,5
"United States","Saudi Arabia",2021,5,5
"Iran","Sweden",2023,5,5
"Indonesia","Canada",2024,5,5
"Netherlands","Germany",2009,5,5
"Belgium","United States",2013,5,5
"Hong Kong","Singapore",2023,5,5
"China","Japan",2022,5,5
"New Zealand","Australia",2022,5,5
"Netherlands","Spain",2019,5,5
"Nigeria","United States",2020,5,5
"United Arab Emirates","United States",2018,5,5
"Australia","Netherlands",2019,5,5
"Pakistan","United States",2018,5,5
"United Kingdom","United Arab Emirates",2019,5,5
"Switzerland","Canada",2022,5,5
"Netherlands","Nigeria",2011,5,5
"United States","United Arab Emirates",2019,5,5
"Austria","United States",2020,5,5
"United States","Georgia",2023,5,5
"Bangladesh","India",2024,5,5
"Singapore","United Kingdom",2018,5,5
"Spain","Italy",2024,5,5
"Colombia","Spain",2023,5,5
"Singapore","Germany",2023,5,5
"United States","Serbia",2020,5,5
"Netherlands","Italy",2022,5,5
"India","Nigeria",2024,5,5
"Greece","Switzerland",2021,5,5
"Nigeria","Netherlands",2024,5,5
"Iran","Germany",2018,5,5
"Poland","Switzerland",2022,5,5
"France","Brazil",2023,5,5
"Turkey","Canada",2021,5,5
"United States","Netherlands",2005,5,5
"Australia","Germany",2023,5,5
"South Africa","Netherlands",2011,5,5
"Egypt","United Arab Emirates",2019,5,5
"Netherlands","Spain",2017,5,5
"United Kingdom","Singapore",2023,5,5
"Switzerland","Germany",2019,5,5
"United States","Portugal",2021,5,5
"Germany","Belgium",2021,5,5
"Pakistan","Australia",2024,5,5
"United States","Poland",2019,5,5
"Ireland","Netherlands",2021,5,5
"Russia","Poland",2023,5,5
"Netherlands","Russia",2021,5,5
"Portugal","Italy",2023,5,5
"United States","Hong Kong",2022,5,5
"United States","Lebanon",2023,5,5
"United Kingdom","Portugal",2021,5,5
"Pakistan","Singapore",2024,5,5
"Russia","Finland",2021,5,5
"Iran","Germany",2021,5,5
"France","Morocco",2020,5,5
"Italy","Switzerland",2020,5,5
"Czech Republic","Germany",2022,5,5
"Singapore","China",2019,5,5
"India","Netherlands",2017,5,5
"Vietnam","United States",2019,5,5
"Canada","South Korea",2020,5,5
"France","Belgium",2016,5,5
"Germany","Pakistan",2020,5,5
"United States","Ireland",2017,5,5
"Netherlands","Australia",2019,5,5
"Spain","Italy",2022,5,5
"France","Japan",2019,5,5
"Canada","Egypt",2023,5,5
"Egypt","Canada",2022,5,5
"Iran","Sweden",2021,5,5
"United States","South Africa",2020,5,5
"Malaysia","Singapore",2021,5,5
"Italy","France",2018,5,5
"Japan","Singapore",2022,5,5
"Russia","Armenia",2020,5,5
"Kazakhstan","United States",2023,5,5
"Nigeria","Netherlands",2019,5,5
"United States","United Kingdom",2007,5,5
"Singapore","Malaysia",2024,5,5
"Italy","United Arab Emirates",2022,5,5
"United States","Ukraine",2021,5,5
"Canada","Saudi Arabia",2022,5,5
"France","Japan",2022,5,5
"United Kingdom","Malaysia",2024,5,5
"Portugal","Belgium",2024,5,5
"Israel","United Kingdom",2022,5,5
"Algeria","France",2019,5,5
"Spain","Tunisia",2023,5,5
"Nigeria","Netherlands",2013,5,5
"United States","Portugal",2023,5,5
"Syria","United Arab Emirates",2024,5,5
"Japan","Singapore",2019,5,5
"Pakistan","Australia",2022,5,5
"Poland","Switzerland",2024,5,5
"India","Canada",2015,5,5
"Netherlands","Switzerland",2018,5,5
"United States","Netherlands",2002,5,5
"Norway","France",2023,5,5
"United States","Japan",2016,5,5
"United States","Tunisia",2024,5,5
"Czech Republic","Switzerland",2022,5,5
"Germany","Egypt",2022,5,5
"United States","Armenia",2023,5,5
"Ireland","Netherlands",2023,5,5
"Netherlands","Lebanon",2019,5,5
"Italy","Netherlands",2018,5,5
"United States","Saint Vincent and the Grenadines",2022,5,5
"Belgium","Spain",2021,5,5
"United States","Brazil",2020,5,5
"India","Oman",2019,5,5
"Russia","United Arab Emirates",2021,5,5
"Bahrain","Netherlands",2014,5,5
"Tunisia","India",2024,5,5
"Saudi Arabia","Pakistan",2024,5,5
"Argentina","Spain",2022,5,5
"France","Norway",2023,5,5
"Germany","Turkey",2019,5,5
"Japan","France",2024,5,5
"Singapore","United Kingdom",2020,5,5
"Japan","Canada",2019,5,5
"Malaysia","United Kingdom",2024,5,5
"Singapore","Germany",2020,5,5
"Indonesia","United States",2022,5,5
"Poland","United Kingdom",2019,5,5
"Vietnam","South Korea",2022,5,5
"United Kingdom","Nigeria",2022,5,5
"Canada","Switzerland",2022,5,5
"United States","Japan",2015,5,5
"United Kingdom","Indonesia",2023,5,5
"Lebanon","Germany",2019,5,5
"United States","Philippines",2021,5,5
"Australia","United Kingdom",2019,5,5
"Portugal","Germany",2021,5,5
"Switzerland","Spain",2023,5,5
"United States","South Africa",2021,5,5
"Poland","United States",2019,5,5
"Brazil","France",2020,5,5
"Hong Kong","Canada",2023,5,5
"United States","Ethiopia",2024,5,5
"India","Netherlands",2011,5,5
"United States","Netherlands",2006,5,5
"Brazil","Portugal",2023,5,5
"United States","Serbia",2023,5,5
"Italy","Switzerland",2021,5,5
"United States","Bangladesh",2019,5,5
"Hong Kong","United States",2015,5,5
"United Kingdom","United States",2009,5,5
"United Kingdom","Iran",2022,5,5
"India","Sweden",2022,5,5
"Spain","Netherlands",2022,5,5
"Belarus","Poland",2020,5,5
"United States","Chile",2024,5,5
"Netherlands","Belgium",2008,5,5
"China","Germany",2022,5,5
"United Kingdom","Turkey",2023,5,5
"Germany","Singapore",2024,5,5
"Pakistan","Canada",2019,5,5
"United Kingdom","Russia",2020,5,5
"Japan","China",2020,5,5
"Germany","Taiwan",2024,5,5
"Sri Lanka","Australia",2024,5,5
"Canada","Spain",2020,5,5
"France","Germany",2015,5,5
"United Kingdom","Ireland",2018,5,5
"Israel","United Kingdom",2023,5,5
"Saudi Arabia","Egypt",2020,5,5
"Ethiopia","United States",2023,5,5
"United Arab Emirates","Jordan",2022,5,5
"Netherlands","United Kingdom",2008,5,5
"South Africa","United States",2019,5,5
"India","Taiwan",2023,5,5
"Germany","Belgium",2022,5,5
"Singapore","Vietnam",2021,5,5
"Nepal","United Kingdom",2023,5,5
"Denmark","Germany",2022,5,5
"Hungary","United States",2022,5,5
"France","Luxembourg",2020,5,5
"France","China",2022,5,5
"United States","Nepal",2021,5,5
"Ireland","Netherlands",2022,5,5
"United States","Malaysia",2023,5,5
"Finland","Germany",2022,5,5
"Austria","Switzerland",2024,5,5
"Vietnam","United Kingdom",2023,5,5
"Germany","China",2024,5,5
"Netherlands","Portugal",2020,5,5
"India","Japan",2016,5,5
"Indonesia","Malaysia",2023,5,5
"Canada","United Kingdom",2017,5,5
"Pakistan","Saudi Arabia",2022,5,5
"Greece","United Kingdom",2021,5,5
"United States","Portugal",2022,5,5
"Australia","Germany",2024,5,5
"United States","Belgium",2012,5,5
"Bangladesh","United States",2021,5,5
"Saudi Arabia","Egypt",2021,5,5
"United States","Vietnam",2023,5,5
"United Arab Emirates","Canada",2024,5,5
"Sweden","France",2023,5,5
"United Kingdom","Sri Lanka",2023,5,5
"Poland","Netherlands",2023,5,5
"United Kingdom","Germany",2018,5,5
"Egypt","Netherlands",2022,5,5
"Switzerland","Italy",2020,5,5
"Belgium","United Kingdom",2019,5,5
"India","Sweden",2023,5,5
"France","Luxembourg",2021,5,5
"Canada","Iran",2024,5,5
"Netherlands","Canada",2023,5,5
"Greece","United States",2023,5,5
"Sweden","Netherlands",2022,5,5
"United Kingdom","Tunisia",2024,5,5
"Brazil","Portugal",2019,5,5
"Germany","Japan",2018,5,5
"United Kingdom","Netherlands",2006,5,5
"China","Australia",2019,5,5
"Singapore","Canada",2023,5,5
"United Kingdom","Denmark",2023,5,5
"Thailand","United States",2023,5,5
"Singapore","United States",2015,5,5
"Netherlands","Poland",2023,5,5
"Mexico","United States",2018,5,5
"Sweden","Denmark",2023,5,5
"Romania","United Kingdom",2022,5,5
"Egypt","Singapore",2022,5,5
"France","Netherlands",2008,5,5
"Belgium","United Kingdom",2022,5,5
"United Kingdom","China",2023,5,5
"United States","France",2014,5,5
"Spain","United Kingdom",2024,5,5
"Germany","Portugal",2022,5,5
"Canada","Japan",2023,5,5
"Egypt","United States",2019,5,5
"Japan","Canada",2023,5,5
"Germany","Spain",2018,5,5
"United Kingdom","United Arab Emirates",2020,5,5
"Australia","United Kingdom",2018,5,5
"United States","Austria",2023,5,5
"Denmark","United States",2024,5,5
"Belgium","Netherlands",2006,5,5
"Lebanon","France",2024,5,5
"Germany","China",2019,5,5
"Taiwan","United States",2018,5,5
"South Africa","Netherlands",2022,5,5
"Georgia","United States",2023,5,5
"Myanmar","Thailand",2022,5,4
"Netherlands","Mexico",2017,5,5
"Italy","Austria",2022,5,5
"Brazil","United Kingdom",2019,5,5
"Iran","Australia",2023,5,5
"United States","Sweden",2016,5,5
"Germany","Netherlands",2008,5,5
"Switzerland","Germany",2018,5,5
"Argentina","Spain",2024,5,5
"Germany","India",2018,5,5
"Indonesia","Singapore",2021,5,5
"Brazil","Portugal",2021,5,5
"Netherlands","United States",2000,5,5
"United Kingdom","Portugal",2020,5,5
"Egypt","Jordan",2024,5,5
"Cyprus","United States",2024,5,5
"Canada","Tunisia",2023,5,5
"South Africa","Netherlands",2016,5,5
"China","Germany",2024,5,5
"United States","Mexico",2020,5,5
"Germany","Denmark",2018,5,5
"France","Lebanon",2020,5,5
"United Kingdom","Iran",2020,5,5
"Ukraine","United Kingdom",2024,5,5
"Singapore","United Kingdom",2019,5,5
"Ireland","Spain",2019,5,5
"Hong Kong","China",2018,5,5
"United Kingdom","China",2024,5,5
"Nepal","India",2021,5,5
"Sweden","France",2024,5,5
"Myanmar","Japan",2022,5,5
"Canada","Pakistan",2023,5,5
"Singapore","Australia",2023,5,5
"Ireland","Germany",2021,5,5
"Netherlands","Australia",2021,5,5
"United States","Nepal",2023,5,5
"South Korea","Canada",2022,5,5
"Australia","France",2022,5,5
"Italy","Germany",2018,5,5
"Norway","United States",2023,5,5
"Egypt","United Kingdom",2021,5,5
"United Kingdom","Pakistan",2022,5,5
"China","Germany",2020,5,5
"Spain","Nicaragua",2024,5,5
"Netherlands","Nigeria",2019,5,5
"Pakistan","Saudi Arabia",2020,5,5
"Netherlands","Sweden",2021,5,5
"Spain","Germany",2020,5,5
"United States","Kazakhstan",2024,5,5
"Canada","Hong Kong",2023,5,5
"New Zealand","United States",2023,5,5
"Uruguay","United States",2023,5,5
"Luxembourg","Netherlands",2020,5,5
"Belgium","France",2015,5,5
"Netherlands","Nigeria",2013,5,5
"United States","Poland",2018,5,5
"Canada","Singapore",2024,5,5
"Finland","United States",2024,5,5
"United States","Belgium",2014,5,5
"Israel","United States",2016,5,5
"United States","Ukraine",2019,5,5
"Canada","Egypt",2024,5,5
"Russia","Georgia",2024,5,5
"Saudi Arabia","United States",2021,5,5
"Syria","United Arab Emirates",2023,5,5
"Morocco","United Kingdom",2024,5,5
"Japan","United States",2016,5,5
"Kazakhstan","Russia",2019,5,5
"Hong Kong","Canada",2021,5,5
"Belgium","Netherlands",2005,5,5
"Switzerland","Netherlands",2013,5,5
"Czech Republic","United Kingdom",2021,5,5
"Denmark","United States",2018,5,5
"United States","Russia",2018,5,5
"Denmark","Netherlands",2018,5,5
"Japan","France",2022,5,5
"Germany","Ireland",2021,5,5
"Canada","China",2020,5,5
"France","India",2020,5,5
"China","United States",2015,5,5
"India","United States",2013,5,5
"South Africa","Netherlands",2009,5,5
"Switzerland","Belgium",2022,5,5
"Vietnam","Germany",2021,5,5
"Brazil","France",2022,5,5
"United Arab Emirates","United Kingdom",2021,5,5
"China","Netherlands",2021,5,5
"Singapore","United Kingdom",2022,5,5
"United States","Saint Vincent and the Grenadines",2021,5,5
"Germany","Belgium",2024,5,5
"Italy","Netherlands",2020,5,5
"Netherlands","Mexico",2013,5,5
"Spain","Netherlands",2024,5,5
"Japan","Singapore",2021,5,5
"Poland","Switzerland",2023,5,5
"Netherlands","Turkey",2022,5,5
"United States","Netherlands",2000,5,5
"United Kingdom","Japan",2021,5,5
"Canada","Japan",2024,5,5
"United States","Portugal",2024,5,5
"Portugal","France",2021,5,5
"United Arab Emirates","Pakistan",2021,5,5
"United States","Uganda",2024,5,2
"Netherlands","Japan",2023,5,5
"Turkey","Sweden",2024,4,4
"United States","Slovakia",2024,4,4
"Philippines","Singapore",2023,4,4
"Czech Republic","United Kingdom",2020,4,4
"Sweden","United States",2017,4,4
"France","Algeria",2022,4,4
"Poland","Germany",2018,4,4
"United Kingdom","Iran",2021,4,4
"United States","Israel",2016,4,4
"Sweden","Spain",2021,4,4
"Netherlands","France",2021,4,4
"Turkey","Spain",2024,4,4
"United Kingdom","Belgium",2023,4,4
"Japan","Vietnam",2019,4,4
"Canada","South Korea",2022,4,4
"Russia","Kazakhstan",2024,4,4
"United Kingdom","India",2016,4,4
"Thailand","United States",2021,4,4
"Denmark","United States",2019,4,4
"Italy","Japan",2018,4,4
"Russia","Uzbekistan",2022,4,4
"United States","Ireland",2020,4,4
"Canada","Pakistan",2022,4,4
"United Kingdom","Indonesia",2024,4,4
"Brazil","Portugal",2024,4,4
"Denmark","United States",2022,4,4
"Germany","Ireland",2020,4,4
"South Korea","Canada",2023,4,4
"Netherlands","United States",2001,4,4
"Iran","Italy",2021,4,4
"New Zealand","United States",2022,4,4
"Spain","United Kingdom",2017,4,4
"Japan","China",2023,4,4
"United Kingdom","Belgium",2018,4,4
"Germany","Israel",2019,4,4
"Canada","Japan",2021,4,4
"Denmark","United States",2017,4,4
"India","France",2019,4,4
"Germany","Israel",2022,4,4
"Italy","Austria",2023,4,4
"United Kingdom","Hong Kong",2023,4,4
"India","Malaysia",2024,4,4
"France","Luxembourg",2018,4,4
"India","United Kingdom",2016,4,4
"Lebanon","United States",2022,4,4
"Philippines","Australia",2024,4,4
"Canada","Switzerland",2021,4,4
"France","Japan",2020,4,4
"United States","Saint Vincent and the Grenadines",2020,4,4
"United States","South Africa",2019,4,4
"United Kingdom","Bulgaria",2022,4,4
"Georgia","United States",2022,4,4
"Spain","Luxembourg",2021,4,4
"United Kingdom","Netherlands",2004,4,4
"South Korea","Canada",2018,4,4
"Sweden","Germany",2020,4,4
"Lebanon","France",2021,4,4
"United States","Brazil",2017,4,4
"United States","Switzerland",2015,4,4
"France","Ireland",2020,4,3
"Indonesia","Netherlands",2024,4,4
"United States","Peru",2024,4,4
"Czech Republic","Italy",2023,4,4
"Germany","Greece",2024,4,4
"United Kingdom","Denmark",2021,4,4
"Myanmar","Thailand",2023,4,4
"Netherlands","Nigeria",2014,4,4
"United States","Finland",2024,4,4
"Japan","Netherlands",2022,4,4
"Taiwan","United States",2016,4,4
"United States","Malaysia",2020,4,4
"Pakistan","Sweden",2023,4,4
"Armenia","United States",2021,4,4
"India","Peru",2024,4,4
"Spain","Sweden",2022,4,4
"Ireland","Belgium",2021,4,4
"United States","Saint Vincent and the Grenadines",2024,4,4
"China","Netherlands",2020,4,4
"Taiwan","United States",2017,4,4
"Czech Republic","United Kingdom",2024,4,4
"India","United States",2011,4,4
"United States","Kenya",2022,4,4
"South Africa","United Kingdom",2024,4,4
"United States","Canada",2011,4,4
"Netherlands","Italy",2017,4,4
"Japan","South Korea",2023,4,4
"France","Netherlands",2014,4,4
"India","Saudi Arabia",2022,4,4
"Portugal","Netherlands",2024,4,4
"Denmark","Spain",2023,4,4
"Netherlands","Bahrain",2014,4,4
"Germany","Singapore",2023,4,4
"United Kingdom","France",2016,4,4
"Israel","United States",2014,4,4
"Egypt","Canada",2024,4,4
"India","United States",2007,4,4
"Malaysia","United States",2021,4,4
"Taiwan","India",2023,4,4
"United States","Belgium",2013,4,4
"Syria","United Arab Emirates",2022,4,4
"Hong Kong","China",2022,4,4
"Russia","Thailand",2022,4,4
"France","Netherlands",2010,4,4
"Italy","Ireland",2023,4,4
"France","United Kingdom",2015,4,4
"Germany","Egypt",2024,4,4
"Egypt","United States",2020,4,4
"United States","Greece",2024,4,4
"Germany","India",2016,4,4
"Luxembourg","Germany",2022,4,4
"United Arab Emirates","United Kingdom",2020,4,4
"United Kingdom","Czech Republic",2023,4,4
"Spain","United Arab Emirates",2024,4,4
"Switzerland","Germany",2017,4,4
"United Arab Emirates","Netherlands",2021,4,4
"Italy","United States",2012,4,4
"Slovakia","Czech Republic",2022,4,4
"Kazakhstan","Russia",2023,4,4
"Canada","Netherlands",2019,4,4
"Brazil","France",2015,4,4
"Turkey","Switzerland",2024,4,4
"Spain","Portugal",2020,4,4
"Russia","India",2022,4,4
"Switzerland","Italy",2022,4,4
"Spain","France",2018,4,4
"Tunisia","Spain",2024,4,4
"United Arab Emirates","Pakistan",2020,4,4
"Singapore","Netherlands",2021,4,4
"Norway","Netherlands",2019,4,4
"China","Canada",2017,4,4
"Spain","France",2015,4,4
"Benin","Netherlands",2015,4,4
"Russia","Kazakhstan",2020,4,4
"Japan","Germany",2022,4,4
"China","Singapore",2018,4,4
"Russia","Finland",2023,4,4
"Germany","Singapore",2018,4,4
"Bahrain","Netherlands",2021,4,4
"Chile","Argentina",2024,4,4
"Germany","Austria",2019,4,4
"Portugal","Brazil",2023,4,4
"Turkey","Switzerland",2022,4,4
"United Kingdom","United States",2010,4,4
"Germany","Belgium",2023,4,4
"Ireland","France",2021,4,4
"France","India",2018,4,4
"Netherlands","South Africa",2023,4,4
"United States","Canada",2008,4,4
"Hungary","Germany",2021,4,4
"Denmark","United Kingdom",2019,4,4
"Portugal","France",2022,4,4
"Germany","Morocco",2023,4,4
"Russia","Canada",2019,4,4
"Lebanon","United States",2020,4,4
"South Africa","Netherlands",2008,4,4
"Nigeria","Netherlands",2017,4,4
"Greece","Netherlands",2020,4,4
"Indonesia","Singapore",2019,4,4
"United Arab Emirates","Netherlands",2023,4,4
"Portugal","United States",2019,4,4
"Nigeria","India",2024,4,4
"Belgium","Italy",2023,4,4
"Serbia","Russia",2022,4,4
"United States","Morocco",2023,4,4
"Tunisia","Canada",2019,4,4
"Netherlands","United Arab Emirates",2023,4,4
"South Korea","India",2017,4,4
"Iran","Netherlands",2021,4,4
"Ukraine","United Kingdom",2023,4,4
"Spain","Mexico",2020,4,4
"France","China",2018,4,4
"Vietnam","Japan",2024,4,4
"United States","Malaysia",2022,4,4
"South Korea","India",2022,4,4
"Germany","Austria",2022,4,4
"Serbia","United States",2020,4,4
"Germany","Norway",2021,4,4
"United Kingdom","Egypt",2024,4,4
"Ireland","Italy",2024,4,4
"Canada","Singapore",2023,4,4
"Japan","Hong Kong",2018,4,4
"Kenya","United States",2022,4,4
"Netherlands","Switzerland",2010,4,4
"Singapore","Germany",2021,4,4
"Turkey","United Arab Emirates",2024,4,4
"United Kingdom","Turkey",2022,4,4
